url,city,state,street_address,zipcode,bed,bath,sqft,lotsize,price,property_type,hoa_monthly,price_per_sqft,parking_space,year,median_home_price,median_selling_price,mhp_per_sqft,school_district,broker
/realestateandhomes-detail/135-Tunnel-Rd_Berkeley_CA_94705_M13670-45511,berkeley,CA,135 tunnel rd,94705,4.0,2.5,2904.0,5814.0,1949000.0,single family,,671.0,,1912.0,1495000.0,1550000.0,691.0,berkeley (510) 644-6150,the grubb co.
/realestateandhomes-detail/2611-Derby-St_Berkeley_CA_94705_M27674-73736,berkeley,CA,2611 derby st,94705,5.0,2.5,2377.0,3400.0,1795000.0,single family,,755.0,,1925.0,1495000.0,1550000.0,691.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/161-Tamalpais-Rd_Berkeley_CA_94708_M11388-66145,berkeley,CA,161 tamalpais rd,94708,2.0,2.0,1480.0,7713.0,1095000.0,single family,,740.0,,1983.0,1300000.0,1915000.0,804.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/490-Panoramic-Way_Berkeley_CA_94704_M21923-85712,berkeley,CA,490 panoramic way,94704,2.0,2.0,1125.0,5984.0,899000.0,single family,,799.0,,1948.0,899000.0,900000.0,818.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/2690-Shasta-Rd_Berkeley_CA_94708_M10959-35779,berkeley,CA,2690 shasta rd,94708,3.0,2.5,3070.0,6507.0,1595000.0,single family,,520.0,,1979.0,1300000.0,1915000.0,804.0,-,compass
/realestateandhomes-detail/1475-Campus-Dr_Berkeley_CA_94708_M11135-99836,berkeley,CA,1475 campus dr,94708,3.0,2.5,1434.0,6588.0,1150000.0,single family,,802.0,1 ,1972.0,1300000.0,1915000.0,804.0,-,compass
/realestateandhomes-detail/1733-Francisco-St-Apt-D_Berkeley_CA_94703_M29123-63721,berkeley,CA,1733 francisco st apt d,94703,3.0,1.5,1160.0,7325.0,975000.0,townhome,275.0,841.0,1 ,1969.0,1425000.0,1400000.0,766.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/2635-Mathews-St_Berkeley_CA_94702_M26753-89592,berkeley,CA,2635 mathews st,94702,3.0,2.0,1235.0,2120.0,1170000.0,single family,,947.0,1 ,1912.0,1095000.0,1237500.0,860.0,-,-
/realestateandhomes-detail/2322-8th-St_Berkeley_CA_94710_M27738-46212,berkeley,CA,2322 eighth st,94710,2.0,2.0,1144.0,3240.0,959000.0,single family,,838.0,,1907.0,1095000.0,1237500.0,860.0,-,compass
/realestateandhomes-detail/2444-Virginia-St-Apt-B_Berkeley_CA_94709_M15203-95168,berkeley,CA,2444 virginia st apt b,94709,2.0,2.0,900.0,0.29,775000.0,condo,300.0,861.0,1 ,1932.0,948500.0,965000.0,975.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/1246-Hopkins-St_Berkeley_CA_94702_M10680-98120,berkeley,CA,1246 hopkins st,94702,2.0,2.0,1391.0,3360.0,1195000.0,single family,,859.0,,1935.0,1095000.0,1237500.0,860.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/2211-McKinley-Ave_Berkeley_CA_94703_M28684-27174,berkeley,CA,2211 mckinley ave,94703,3.0,2.0,1507.0,5200.0,1475000.0,single family,,979.0,1 ,1919.0,1425000.0,1400000.0,766.0,berkeley (510) 644-6150,coldwell banker realty
/realestateandhomes-detail/2329-7th-St_Berkeley_CA_94710_M28223-66469,berkeley,CA,2329 seventh st,94710,3.0,2.0,1293.0,5400.0,1195000.0,single family,,924.0,,1916.0,1095000.0,1237500.0,860.0,-,-
/realestateandhomes-detail/1281-Berkeley-Way_Berkeley_CA_94702_M28568-74732,berkeley,CA,1281 berkeley way,94702,4.0,2.5,1814.0,4120.0,1088000.0,single family,,600.0,1 ,1941.0,1095000.0,1237500.0,860.0,-,-
/realestateandhomes-detail/1507-Tyler-St_Berkeley_CA_94703_M25695-91581,berkeley,CA,1507 tyler st,94703,3.0,2.5,1328.0,3375.0,1098000.0,single family,,827.0,,1924.0,1048000.0,1285000.0,809.0,berkeley (510) 644-6150,compass
/realestateandhomes-detail/1732-Carleton-St_Berkeley_CA_94703_M27172-39246,berkeley,CA,1732 carleton st,94703,4.0,2.0,1804.0,4800.0,1120000.0,single family,,621.0,,1906.0,1048000.0,1285000.0,809.0,-,-
/realestateandhomes-detail/1514-Blake-St_Berkeley_CA_94703_M26703-58690,berkeley,CA,1514 blake st,94703,3.0,3.0,1685.0,5300.0,1249000.0,single family,,741.0,1 ,1925.0,1048000.0,1285000.0,809.0,-,-
/realestateandhomes-detail/1109-Woodside-Rd_Berkeley_CA_94708_M14103-48536,berkeley,CA,1109 woodside rd,94708,3.0,2.0,1727.0,5616.0,1495000.0,single family,27.0,866.0,2 ,1953.0,1695000.0,2145474.0,774.0,berkeley unified,-
/realestateandhomes-detail/7164-Buckingham-Blvd_Berkeley_CA_94705_M21958-88711,berkeley,CA,7164 buckingham blvd,94705,3.0,3.0,2904.0,6336.0,1595000.0,single family,,549.0,2 ,2002.0,1495000.0,1550000.0,691.0,oakland (510) 879-8111,village associates real estate
/realestateandhomes-detail/570-Woodmont-Ave_Berkeley_CA_94708_M13396-55043,berkeley,CA,570 woodmont ave,94708,3.0,2.5,2663.0,8800.0,1695000.0,single family,,637.0,2 ,1921.0,1525000.0,2010000.0,670.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/84-Plaza-Dr_Berkeley_CA_94705_M13716-66488,berkeley,CA,84 plaza dr,94705,3.0,2.0,1697.0,5750.0,1750000.0,single family,,1031.0,1 ,1910.0,1495000.0,1550000.0,691.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/2929-Piedmont-Ave_Berkeley_CA_94705_M25686-97199,berkeley,CA,2929 piedmont ave,94705,3.0,2.0,1915.0,4026.0,1775000.0,single family,,927.0,,1910.0,1495000.0,1550000.0,691.0,-,-
/realestateandhomes-detail/1820-9th-St_Berkeley_CA_94710_M28757-68565,berkeley,CA,1820 9th st,94710,4.0,3.0,1917.0,3250.0,995000.0,single family,,519.0,,1908.0,1095000.0,1237500.0,860.0,-,-
/realestateandhomes-detail/1625-San-Lorenzo-Ave_Berkeley_CA_94707_M12944-88721,berkeley,CA,1625 san lorenzo ave,94707,2.0,2.0,1153.0,4100.0,1199000.0,single family,,1040.0,1 ,1925.0,1095000.0,1495000.0,862.0,-,-
/realestateandhomes-detail/2214-Browning-St_Berkeley_CA_94702_M28339-56177,berkeley,CA,2214 browning st,94702,3.0,2.0,1560.0,3840.0,1249000.0,single family,,801.0,,1918.0,1095000.0,1237500.0,860.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/1436-67th-St_Berkeley_CA_94702_M25118-66636,berkeley,CA,1436 67th st,94702,3.0,2.0,2072.0,5000.0,1150000.0,single family,,555.0,,1916.0,1095000.0,1237500.0,860.0,berkeley (510) 644-6150,compass
/realestateandhomes-detail/260-Alvarado-Rd_Berkeley_CA_94705_M21770-32144,berkeley,CA,260 alvarado rd,94705,4.0,2.5,2388.0,0.25,1899000.0,single family,,795.0,2 ,1995.0,1495000.0,1550000.0,691.0,-,compass
/realestateandhomes-detail/1760-Marin-Ave_Berkeley_CA_94707_M12360-55723,berkeley,CA,1760 marin ave,94707,2.0,2.0,1449.0,7450.0,1350000.0,single family,,932.0,2 ,1924.0,1350000.0,,893.0,berkeley (510) 644-6150,-
/realestateandhomes-detail/2616-Etna-St_Berkeley_CA_94704_M27116-86620,berkeley,CA,2616 etna st,94704,3.0,2.5,2929.0,6075.0,2495000.0,single family,,852.0,,1906.0,1495000.0,1550000.0,691.0,-,better homes and gardens real estate reliance partners
/realestateandhomes-detail/1215-San-Pablo-Ave_Berkeley_CA_94706_M10665-32950,berkeley,CA,1215 san pablo ave,94706,3.0,2.0,862.0,2500.0,849000.0,single family,,985.0,,1946.0,1095000.0,1237500.0,860.0,-,-
/realestateandhomes-detail/1407-Hearst-Ave_Berkeley_CA_94702_M28351-48688,berkeley,CA,1407 hearst ave,94702,4.0,2.0,1652.0,5000.0,1750000.0,single family,,1059.0,1 ,1924.0,1095000.0,1237500.0,860.0,berkeley unified,-
/realestateandhomes-detail/1128-Cedar-St_Berkeley_CA_94702_M10520-36499,berkeley,CA,1128 cedar st,94702,2.0,2.0,2120.0,5250.0,1550000.0,single family,,731.0,1 ,1925.0,1095000.0,1237500.0,860.0,-,-
/realestateandhomes-detail/1230-Neilson-St_Berkeley_CA_94706_M10438-75257,berkeley,CA,1230 neilson st,94706,2.0,2.0,1238.0,3800.0,1149000.0,single family,,928.0,,1925.0,1095000.0,1237500.0,860.0,-,-
/realestateandhomes-detail/2535-Chilton-Way_Berkeley_CA_94704_M27207-79510,berkeley,CA,2535 chilton way,94704,4.0,2.0,1744.0,2589.0,1360000.0,single family,,780.0,,1906.0,1048000.0,1285000.0,809.0,-,-
/realestateandhomes-detail/75-Maryland-Ave_Berkeley_CA_94707_M12809-61184,berkeley,CA,75 maryland ave,94707,3.0,2.0,1747.0,5000.0,1450000.0,single family,,830.0,2 ,1937.0,1525000.0,2010000.0,670.0,-,-
